CFP,COD_SAP,UNIDADE,CFP_LOCALIDADE,MUNICÍPIO,CÓDIGO_SIAFI_MUNICÍPIO,CÓDIGO_IBGE_MUNICÍPIO,LONGITUDE,LATITUDE,COD_MICRORREGIÃO,NOME_MICRORREGIÃO,COD_MESORREGIÃO,NOME_MESORREGIÃO,REGIÃO ADMINISTRATIVA,REGIÃO DE GOVERNO,REGIÃO METROPOLIATANA
7.94,2092,Centro de Treinamento SENAI - OURINHOS,794 - OURINHOS,TAQUARITUBA,7177,3553807,"-49,24408854","-23,53206051",35040,Ourinhos,3510,Assis,de Itapeva,de Itapeva,-
04.04,2106,Escola SENAI LUIZ PAGLIATO,404 - SOROCABA - Jardim Santa Cecília,TAQUARIVAÍ,3063,3553856,"-48,69732864","-23,91925715",35046,Sorocaba,3512,Macro Metropolitana Paulista,de Itapeva,de Itapeva,-
9.14,2052,Escola SENAI SANTO PASCHOAL CREPALDI,914 - PRESIDENTE PRUDENTE,TARABAÍ,7179,3553906,"-51,55957258","-22,3016683",35036,Presidente Prudente,3508,Presidente Prudente,de Presidente Prudente,de Presidente Prudente,-
9.27,2033,Escola SENAI JOSÉ POLIZOTTO,927 - MARÍLIA,TARUMÃ,7267,3553955,"-50,57656514","-22,74477119",35038,Marília,3509,Marília,de Marília,de Assis,-
04.04,2106,Escola SENAI LUIZ PAGLIATO,404 - SOROCABA - Jardim Santa Cecília,TATUÍ,7181,3554003,"-47,84946403","-23,3485765",35046,Sorocaba,3512,Macro Metropolitana Paulista,de Sorocaba,de Itapetininga,de Sorocaba
03.01,2035,Escola SENAI FÉLIX GUISARD,301 - TAUBATÉ,TAUBATÉ,7183,3554102,"-45,5566087","-23,0265555",35050,São José dos Campos,3513,Vale do Paraíba Paulista,de São José dos Campos,de Taubaté,do Vale do Paraíba e Litoral Norte
7.94,2092,Centro de Treinamento SENAI - OURINHOS,794 - OURINHOS,TEJUPÁ,7185,3554201,"-49,37744196","-23,34059175",35040,Ourinhos,3510,Assis,de Itapeva,de Itapeva,-
9.14,2052,Escola SENAI SANTO PASCHOAL CREPALDI,914 - PRESIDENTE PRUDENTE,TEODORO SAMPAIO,7187,3554300,"-52,17119482","-22,531007",35036,Presidente Prudente,3508,Presidente Prudente,de Presidente Prudente,de Presidente Prudente,-
6.61,2067,Escola SENAI ETTORE ZANINI,661 - SERTÃOZINHO,TERRA ROXA,7189,3554409,"-48,34153614","-20,78784166",35014,Ribeirão Preto,3502,Ribeirão Preto,de Barretos,de Barretos,-
05.03,2041,Escola SENAI MÁRIO DEDINI,503 - PIRACICABA,TIETÊ,7191,3554508,"-47,71147253","-23,09788949",35028,Piracicaba,3506,Piracicaba,de Sorocaba,de Sorocaba,de Sorocaba
